T (C),P (bar),m (melt),m (solid)
1200,200,99.978408,0.021592
1199,200,99.978403,0.021597
1198,200,99.978398,0.021602
1197,200,99.978393,0.021607
1196,200,99.978388,0.021612
1195,200,99.978382,0.021618
1194,200,99.978377,0.021623
1193,200,99.978372,0.021628
1192,200,99.978367,0.021633
1191,200,99.978362,0.021638
1190,200,99.978357,0.021643
1189,200,99.978352,0.021648
1188,200,99.978347,0.021653
1187,200,99.978342,0.021658
1186,200,99.978337,0.021663
1185,200,99.978332,0.021668
1184,200,99.978327,0.021673
1183,200,99.978322,0.021678
1182,200,99.978317,0.021683
1181,200,99.978312,0.021688
1180,200,99.978307,0.021693
1179,200,99.978301,0.021699
1178,200,99.978296,0.021704
1177,200,99.978291,0.021709
1176,200,99.921795,0.078205
1175,200,99.598229,0.401771
1174,200,99.276688,0.723312
1173,200,98.957147,1.042853
1172,200,98.639581,1.360419
1171,200,98.323963,1.676037
1170,200,98.01027,1.98973
1169,200,97.698476,2.301524
1168,200,97.388558,2.611442
1167,200,97.080492,2.919508
1166,200,96.774256,3.225744
1165,200,96.46929,3.53071
1164,200,96.165215,3.834785
1163,200,95.862883,4.137117
1162,200,95.562271,4.437729
1161,200,95.263357,4.736643
1160,200,94.966117,5.033883
1159,200,94.670528,5.329472
1158,200,94.012442,5.987558
1157,200,93.343505,6.656495
1156,200,92.68352,7.31648
1155,200,92.032275,7.967725
1154,200,91.389559,8.610441
1153,200,90.755166,9.244834
1152,200,90.12889,9.87111
1151,200,89.469349,10.530651
1150,200,88.586048,11.413952
1149,200,87.717891,12.282109
1148,200,86.864295,13.135705
1147,200,86.024681,13.975319
1146,200,85.198469,14.801531
1145,200,84.385075,15.614925
1144,200,83.583903,16.416097
1143,200,82.794337,17.205663
1142,200,82.015739,17.984261
1141,200,81.247432,18.752568
1140,200,80.488696,19.511304
1139,200,79.738751,20.261249
1138,200,78.996753,21.003247
1137,200,78.261779,21.738221
1136,200,77.532825,22.467175
1135,200,76.808818,23.191182
1134,200,76.088636,23.911364
1133,200,75.371163,24.628837
1132,200,74.655367,25.344633
1131,200,73.940396,26.059604
